id;karte;frage;ziel;latitude;longitude;info
24;Deutschland;Wo befindet sich der Baldeneysee als bekanntes Naherholungsgebiet im Ruhrgebiet?;Baldeneysee;51.4022;7.0319;Er wurde durch das Anstauen der Ruhr geschaffen.
25;Deutschland;Wo steht das weltberühmte Märchenschloss Neuschwanstein?;Füssen;47.5576;10.7498;König Ludwig II. ließ es ab 1869 auf einem Felsen errichten.
26;Deutschland;Wo fließt die Donau an einer der ältesten Steinbrücken vorbei?;Regensburg;49.0202;12.0972;Regensburg besitzt eine der ältesten erhaltenen Steinbrücken über die Donau.
27;Deutschland;Wo erstreckt sich der größte zusammenhängende Wald Mitteleuropas an der tschechischen Grenze?;Bayerischer Wald;48.9000;13.2000;Zusammen mit dem Böhmerwald bildet es das größte zusammenhängende Waldgebiet Mitteleuropas.
28;Deutschland;Wo befindet sich der Sitz des deutschen Bundesverfassungsgerichts?;Karlsruhe;49.0134;8.4044;Karlsruhe wird deshalb auch als Residenz des Rechts bezeichnet.
29;Deutschland;Wo steht das weltbekannte Bankenviertel mit seinen Wolkenkratzern?;Frankfurt am Main;50.1109;8.6821;Frankfurt ist der Sitz der Europäischen Zentralbank.
30;Deutschland;Wo mündet der Fluss Neckar nach seinem Lauf durch Südwestdeutschland in den Rhein?;Mannheim;49.5122;8.4878;Er mündet bei Mannheim in den Rhein.
31;Deutschland;Wo wird seit 1710 das feine Porzellan mit den gekreuzten blauen Schwertern hergestellt?;Meißen;51.1636;13.4775;Das Meissener Porzellan wird seit 1710 hergestellt.
32;Deutschland;Wo befindet sich das UNESCO-Weltnaturerbe an der deutschen Nordseeküste?;Wattenmeer;53.8000;8.1000;Das Wattenmeer bietet Lebensraum für Tausende Tier- und Pflanzenarten.
33;Deutschland;Wo ragt der Wurmberg als zweithöchster Berg des Harzes empor?;Wurmberg;51.7564;10.6189;Der Wurmberg liegt in Niedersachsen und ist ein beliebtes Skigebiet.
34;Deutschland;Wo fließen die drei Flüsse Donau, Inn und Ilz zusammen?;Passau;48.5748;13.4772;Passau wird wegen des Zusammenflusses dieser drei Flüsse Dreiflüssestadt genannt.
35;Deutschland;Wo befindet sich die historische Wirkungsstätte von Goethe und Schiller?;Weimar;50.9803;11.3290;Weimar ist eng mit Goethe, Schiller und der Weimarer Republik verbunden.
36;Deutschland;Wo wird alljährlich der internationale Karlspreis verliehen?;Aachen;50.7753;6.0839;Der Aachener Dom war die Krönungskirche zahlreicher deutscher Könige.
37;Deutschland;Wo befindet sich eine berühmte Skisprungschanze in den Allgäuer Alpen?;Oberstdorf;47.4083;10.2792;Hier startet traditionell die Vierschanzentournee.
38;Deutschland;Wo mündet die Mosel am Deutschen Eck in den Rhein?;Koblenz;50.3644;7.6058;Die Mosel ist bekannt für ihre steilen Weinberge.
39;Deutschland;Wo steht die größte Modelleisenbahnanlage der Welt (Miniaturen Wunderland)?;Hamburg;53.5436;9.9889;Es ist die größte Modelleisenbahnanlage der Welt.
40;Deutschland;Wo befindet sich die bayerische Inselstadt im Bodensee mit der bekannten Hafeneinfahrt?;Lindau;47.5458;9.6836;Die historische Altstadt von Lindau liegt auf einer Insel.
41;Deutschland;Wo erstreckt sich das waldreiche Knüllgebirge südlich von Kassel?;Knüllgebirge;50.9167;9.4167;Es ist Teil des Hessischen Berglandes.
42;Deutschland;Wo fließt die Spree durch das Regierungsviertel der Bundeshauptstadt?;Berlin;52.5186;13.3761;Die Spree mündet im Berliner Bezirk Spandau in die Havel.
43;Deutschland;Wo ragt der höchste Kirchturm der Welt 161,53 Meter in den Himmel?;Ulm;48.3986;9.9925;Der Turm misst stolze 161,53 Meter.
44;Deutschland;Wo liegt der malerische Alpsee direkt unterhalb der Königsschlösser?;Alpsee (Schwangau);47.5522;10.7236;Der See liegt direkt unterhalb der Königsschlösser.
45;Deutschland;Wo steht das Marine-Ehrenmal Laboe an der Kieler Förde?;Kiel;54.4344;10.2281;Kiel ist gleichzeitig die Landeshauptstadt des Bundeslandes.
46;Deutschland;Wo finden auf dem Grünen Hügel die alljährlichen Richard-Wagner-Festspiele statt?;Bayreuth;49.9597;11.5794;Die Festspiele finden im eigens erbauten Festspielhaus auf dem Grünen Hügel statt.
47;Deutschland;Wo steht die historische Wartburg, auf der Martin Luther die Bibel übersetzte?;Eisenach;50.9663;10.3064;Die Wartburg war der Zufluchtsort von Martin Luther bei seiner Bibelübersetzung.
48;Deutschland;Wo bricht der höchste Kaltwassergeysir der Welt regelmäßig aus?;Andernach;50.4481;7.3753;Der Geysir springt etwa alle zwei Stunden bis zu 60 Meter hoch.
49;Deutschland;Wo erstreckt sich das große lilafarbene Heidegebiet im Nordosten Niedersachsens?;Lüneburger Heide;53.1667;9.9000;Bekannt für die lilafarbene Heideblüte im Spätsommer.
50;Deutschland;Wo befindet sich die traditionelle Universitätsstadt der optischen Industrie (Zeiss)?;Jena;50.9271;11.5892;Jena ist zudem eine bedeutende Universitätsstadt.
51;Deutschland;Wo mündet der Main nach seinem Lauf durch die Bankenmetropole in den Rhein?;Mainz;49.9989;8.2981;Der Main mündet bei Mainz-Kostheim in den Rhein.
52;Deutschland;Wo steht das prachtvolle Residenzschloss Schwerin auf einer Insel im See?;Schwerin;53.6242;11.4189;Schwerin ist die Landeshauptstadt von Mecklenburg-Vorpommern.
53;Deutschland;Wo befindet sich die zweitgrößte Stadt Bayerns in Mittelfranken?;Nürnberg;49.4521;11.0767;Nürnberg liegt im Regierungsbezirk Mittelfranken.
54;Deutschland;Wo liegt der Nationalpark Schwarzwald zum Schutz der geschützten Grinden?;Schwarzwald;48.5600;8.2200;Er wurde im Jahr 2014 gegründet.
55;Deutschland;Wo steht das imposante Walhalla-Monument steil über der Donau?;Donaustauf;49.0315;12.2241;Die Gedenkstätte Walhalla steht in Donaustauf nahe Regensburg.
56;Deutschland;Wo liegt der bekannte Wintersportort Winterberg im Rothaargebirge?;Winterberg;51.1947;8.5317;Winterberg liegt im Rothaargebirge im Sauerland.
57;Deutschland;Wo entspringt die Weser aus dem Zusammenfluss von Werra und Fulda?;Münden;51.4172;9.6517;Die Weser entsteht durch den Zusammenfluss von Werra und Fulda in Hannoversch Münden.
58;Deutschland;Wo wurde bereits 1844 der älteste noch bestehende Zoo Deutschlands eröffnet?;Berlin;52.5078;13.3378;Der Zoologische Garten Berlin wurde 1844 eröffnet.
59;Deutschland;Wo ragt die Kalmit als höchste Erhebung des Pfälzerwaldes empor?;Kalmit;49.3194;8.0825;Die Kalmit ist 672,6 Meter hoch und trägt einen Aussichtsturm.
60;Deutschland;Wo liegt die malerische Universitätsstadt Marburg an der Lahn?;Marburg;50.8100;8.7708;Marburg ist für seine steilen Gassen und das Landgrafenschloss bekannt.
61;Deutschland;Wo formte die Elbe das imposante Sandsteingebirge?;Elbsandsteingebirge;50.9000;14.1333;Die Elbe hat über Jahrtausende hinweg das markante Sandsteingebirge geformt.
62;Deutschland;Wo steht das weltberühmte Roemer- und Pelizaeus-Museum mit seiner Ägypten-Sammlung?;Hildesheim;52.1486;9.9472;Das Museum ist weltweit bekannt für seine altägyptische Sammlung.
63;Deutschland;Wo erstreckt sich die Rhön als Land der offenen Fernen?;Rhön;50.5000;10.0000;Die Rhön wird wegen ihrer weiten Ausblicke auch als Land der offenen Fernen bezeichnet.
64;Deutschland;Wo liegt der smaragdgrüne Königssee direkt am Fuße des Watzmanns?;Königssee;47.5556;12.9778;Der Königssee liegt im Nationalpark Berchtesgaden.
65;Deutschland;Wo befindet sich die komplett bebaute historische Krämerbrücke?;Erfurt;50.9786;11.0308;Die Krämerbrücke ist das längste bebaute Brückenbauwerk Europas.
66;Deutschland;Wo befindet sich der Feldberg als höchste Erhebung aller deutschen Mittelgebirge?;Feldberg;47.8742;8.0039;Der Feldberg ist mit 1493 Metern die höchste Erhebung aller deutschen Mittelgebirge.
67;Deutschland;Wo befindet sich das größte Bergbaumuseum der Welt?;Bochum;51.4886;7.2161;Es ist das größte Bergbaumuseum der Welt..
68;Deutschland;Wo wird alljährlich das weltgrößte Segelsport-Ereignis ausgetragen?;Kiel;54.3233;10.1394;Die Kieler Woche ist eine der weltweit größten Segelsportveranstaltungen.
69;Deutschland;Wo befindet sich der Edersee als größte Talsperre Hessens?;Edersee;51.1833;9.0333;Der Edersee dient dem Hochwasserschutz und der Stromerzeugung.
70;Deutschland;Wo steht das barocke Meisterwerk der Frauenkirche an der Elbe?;Dresden;51.0519;13.7415;Sie gilt als ein monumentales Meisterwerk des europäischen Barocks.
71;Deutschland;Wo befindet sich die Landeshauptstadt von Baden-Württemberg?;Stuttgart;48.7758;9.1829;Stuttgart ist vor allem als Zentrum der deutschen Automobilindustrie bekannt.
72;Deutschland;Wo befindet sich die Landeshauptstadt von Bayern?;München;48.1372;11.5755;München ist die drittgrößte Stadt Deutschlands und berühmt für das jährliche Oktoberfest.
73;Deutschland;Wo befindet sich die Landeshauptstadt von Brandenburg?;Potsdam;52.3989;13.0657;Potsdam grenzt direkt an Berlin und ist weltbekannt für Schloss Sanssouci.
74;Deutschland;Wo befindet sich die Landeshauptstadt von Hessen?;Wiesbaden;50.0826;8.2400;Wiesbaden liegt am Rhein und besitzt zahlreiche historische Thermal- und Mineralquellen.
75;Deutschland;Wo befindet sich die Landeshauptstadt von Mecklenburg-Vorpommern?;Schwerin;53.6355;11.4010;Schwerin ist die kleinste der deutschen Landeshauptstädte und besitzt ein berühmtes Märchenschloss.
76;Deutschland;Wo befindet sich die Landeshauptstadt von Niedersachsen?;Hannover;52.3759;9.7320;Hannover ist ein weltweiter Messestandort und richtet unter anderem das größte Schützenfest der Welt aus.
77;Deutschland;Wo befindet sich die Landeshauptstadt von Nordrhein-Westfalen?;Düsseldorf;51.2277;6.7735;Düsseldorf gilt als bedeutende Mode- und Einkaufsstadt und liegt direkt am Rhein.
78;Deutschland;Wo befindet sich die Landeshauptstadt von Rheinland-Pfalz?;Mainz;49.9929;8.2473;Mainz ist berühmt als Geburtsstadt von Johannes Gutenberg, dem Erfinder des modernen Buchdrucks.
79;Deutschland;Wo befindet sich die Landeshauptstadt des Saarlandes?;Saarbrücken;49.2333;6.9969;Saarbrücken ist das Zentrum der Grenzregion nahe Frankreich und entstand 1909 aus dem Zusammenschluss dreier Städte.
80;Deutschland;Wo befindet sich die Landeshauptstadt von Sachsen?;Dresden;51.0504;13.7373;Dresden wird wegen seiner beeindruckenden Architektur an der Elbe auch oft „Elbflorenz“ genannt.
81;Deutschland;Wo befindet sich die Landeshauptstadt von Sachsen-Anhalt?;Magdeburg;52.1205;11.6276;Magdeburg ist eine der ältesten Städte in den östlichen Bundesländern und historisch eng mit Kaiser Otto dem Großen verbunden.
82;Deutschland;Wo befindet sich die Landeshauptstadt von Schleswig-Holstein?;Kiel;54.3233;10.1394;Kiel liegt an der Ostsee und ist weltbekannt für das jährliche Segelsportereignis „Kieler Woche“.
83;Deutschland;Wo befindet sich die Landeshauptstadt von Thüringen?;Erfurt;50.9787;11.0328;Erfurt besitzt einen gut erhaltenen mittelalterlichen Stadtkern mit der bekannten Krämerbrücke.
